,index,ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros,G,VORP,VORPrk,Value
338,370,*04yme*,Robert Sanchez,CHE,G,371,FA,MCI Sun 11:30AM,37.0,4.62,7%,330.31,11%,8.008658008658008,-116.85714285714286,339,-8.689999999999998
339,202,*051kl*,Emiliano Buendia,AVL,M,203,FA,@WHU Sat 12:30PM,125.0,11.36,28%,143.34,26%,11.003521126760564,-116.92857142857142,340,-196.66
340,201,*06f81*,Edson Alvarez,WHU,M,202,FA,AVL Sat 12:30PM,125.0,6.25,2%,384.47,5%,20.0,-116.92857142857142,341,43.47000000000003
341,415,*05raa*,Hugo Bueno,WOL,D,416,FA,@ARS Sat 10:00AM,9.0,2.25,0%,1250.0,1%,4.0,-117.14285714285714,342,908.0
342,203,*04abn*,Harvey Barnes,NEW,M,204,FA,SOU Sat 10:00AM,124.5,11.32,85%,108.47,86%,10.998233215547703,-117.42857142857142,343,-234.53
343,375,*04rha*,Jason Steele,BHA,G,376,FA,@EVE Sat 10:00AM,36.0,2.57,2%,387.06,4%,14.007782101167317,-117.85714285714286,344,43.06
344,206,*061z3*,Fabio Vieira,ARS,M,208,FA,WOL Sat 10:00AM,124.0,12.4,2%,1061.99,3%,10.0,-117.92857142857142,345,716.99
345,205,*06fso*,Wataru Endo,LIV,M,206,FA,@IPS Sat 7:30AM,124.0,7.75,5%,343.25,6%,16.0,-117.92857142857142,346,-2.75
346,223,*062p3*,Keane Lewis-Potter,BRF,F,224,FA,CRY Sun 9:00AM,112.5,8.65,0%,1148.8,1%,13.005780346820808,-118.14285714285714,347,801.8
347,209,*04ge6*,Joe Willock,NEW,M,210,FA,SOU Sat 10:00AM,123.0,9.46,6%,341.19,7%,13.002114164904862,-118.92857142857142,348,-6.810000000000002
348,416,*06mpc*,Nathan Wood,SOU,D,417,FA,@NEW Sat 10:00AM,6.5,1.62,0%,1250.0,0%,4.012345679012346,-119.64285714285714,349,901.0
349,227,*04mdj*,Nathan Broadhead,IPS,F,228,FA,LIV Sat 7:30AM,110.5,8.5,3%,379.8,3%,13.0,-120.14285714285714,350,29.80000000000001
350,211,*063hu*,Amadou Onana,AVL,M,212,FA,@WHU Sat 12:30PM,121.5,6.75,41%,135.99,43%,18.0,-120.42857142857142,351,-215.01
