"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros"
"*066iy*","Kaelan Casey","WHU","D","465","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*06mgh*","Dylan Charlton","NEW","D","468","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05ygj*","Chiquinho","WOL","F","667","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06kwf*","Leon Chiwome","WOL","F","469","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*062p2*","Bobby Clark","LIV","M","470","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*06crn*","Toby Collyer","MUN","M","471","W (Tue)","FUL Fri 3:00PM","0","0","0%","-","1%"
"*062om*","Brandon Cover","LEI","M","472","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*05xtq*","Matthew Cox","BRF","G","473","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*064oo*","Amario Cozier-Duberry","BHA","M","474","FA","@EVE Sat 10:00AM","0","0","1%","1125.55","1%"
"*062p6*","Billy Crellin","EVE","G","475","FA","BHA Sat 10:00AM","0","0","0%","1178.8","0%"
"*052k1*","Luke Cundle","WOL","M","476","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06mnd*","Eric da Silva Moreira","NOT","F","694","FA","BOU Sat 10:00AM","0","0","0%","1112.8","0%"
"*06clv*","Mahmoud Dahoud","BHA","M","477","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*05gcq*","Daniel Podence","WOL","M","466","FA","@ARS Sat 10:00AM","0","0","0%","1181.8","0%"
"*06klv*","Jayden Danns","LIV","F","478","FA","@IPS Sat 7:30AM","0","0","0%","-","1%"
"*048xg*","Josh Dasilva","BRF","M","479","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*05rfp*","Harvey Davies","LIV","G","480","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*05zd7*","Lucas De Bolle","NEW","M","481","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06ewn*","Luc De Fougerolles","FUL","D","482","FA","@MUN Fri 3:00PM","0","0","0%","-","0%"
"*06fum*","Deivid Washington","CHE","F","696","FA","MCI Sun 11:30AM","0","0","0%","-","1%"
"*04u6i*","Leander Dendoncker","AVL","M","483","FA","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*05tz8*","Emmanuel Dennis","NOT","F","484","FA","BOU Sat 10:00AM","0","0","0%","1125.8","0%"
"*056as*","William Dennis","BOU","G","485","FA","@NOT Sat 10:00AM","0","0","0%","-","0%"
"*06kx1*","Justin Devenny","CRY","M","486","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*05nio*","Alfie Devine","TOT","M","487","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06exh*","Amadou Diallo","NEW","F","488","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06195*","Tyler Dibling","SOU","M","489","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*06cmd*","Diego Moreira","CHE","F","693","FA","MCI Sun 11:30AM","0","0","0%","1100.8","0%"
"*06onu*","Roman Dixon","EVE","D","490","W (Tue)","BHA Sat 10:00AM","0","0","0%","-","0%"
"*066nn*","Ben Doak","LIV","F","491","FA","@IPS Sat 7:30AM","0","0","0%","-","1%"
"*03ala*","Janoi Donacien","IPS","D","492","FA","LIV Sat 7:30AM","0","0","0%","1076.6","0%"
"*066t3*","Jamie Donley","TOT","F","493","FA","@LEI Mon 3:00PM","0","0","0%","-","1%"
"*04mr4*","Martin Dubravka","NEW","G","494","FA","SOU Sat 10:00AM","0","0","0%","1139.1","2%"
"*068se*","Jhon Duran","AVL","F","495","FA","@WHU Sat 12:30PM","0","0","10%","308.13","11%"
"*06dmn*","George Earthy","WHU","M","496","FA","AVL Sat 12:30PM","0","0","0%","-","1%"
"*06mfx*","George Edmundson","IPS","D","497","FA","LIV Sat 7:30AM","0","0","0%","-","0%"
"*06mp2*","Ronnie Edwards","SOU","D","498","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*06onw*","Johnny Emerson","NEW","F","499","W (Tue)","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06on4*","Julian Eyestone","BRF","G","500","W (Tue)","CRY Sun 9:00AM","0","0","0%","-","0%"
"*02lym*","Lukasz Fabianski","WHU","G","501","FA","AVL Sat 12:30PM","0","0","0%","-","1%"
"*05ojf*","Fabio Carvalho","LIV","M","463","FA","@IPS Sat 7:30AM","0","0","16%","235.21","30%"
"*05o8k*","Fabio Silva","WOL","F","655","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06jgk*","Romain Faivre","BOU","M","502","FA","@NOT Sat 10:00AM","0","0","0%","-","1%"
"*06nvg*","Joao Pedro Ferreira da Silva","NOT","F","503","FA","BOU Sat 10:00AM","0","0","2%","1077.83","2%"
"*05n0a*","Wes Foderingham","WHU","G","504","FA","AVL Sat 12:30PM","0","0","0%","1161.2","1%"
